define the concept contact,"(unknownCommand)"
add email field to concept contact,"(unknownCommand)"
create a contact for mom,"(unknownCommand)"
set Mom's email to momthebest7@bestforyou.com,"(unknownCommand)"
what is mom's email,"(unknownCommand)"
create new outgoing email,"(unknownCommand)"
set recipient to mom,"(unknownCommand)"
Set recipient to Mom's email,"(unknownCommand)"
set the subject to ""Hello"","(unknownCommand)"
send the email,"(unknownCommand)"
read email in inbox,"(unknownCommand)"
create new email set recipient to current email's sender,"(unknownCommand)"
yes,"(unknownCommand)"
set recipient to current email's sender,"(unknownCommand)"
set body to current email's body,"(unknownCommand)"
send email,"(unknownCommand)"
open next email,"(unknownCommand)"
open previous email,"(unknownCommand)"
go,"(unknownCommand)"
yes,"(unknownCommand)"
move to next email,"(unknownCommand)"
end,"(unknownCommand)"
go,"(unknownCommand)"
show,"(unknownCommand)"
yes,"(unknownCommand)"
open incoming email,"(unknownCommand)"
end,"(unknownCommand)"
show,"(unknownCommand)"
respond,"(unknownCommand)"
yes,"(unknownCommand)"
create new email,"(unknownCommand)"
set recipient to current email sender,"(unknownCommand)"
add next message to body,"(unknownCommand)"
remove last command,"(unknownCommand)"
forget last step,"(unknownCommand)"
restart,"(unknownCommand)"
forget command,"(unknownCommand)"
respond,"(unknownCommand)"
yes,"(unknownCommand)"
start new email,"(unknownCommand)"
set recipient to current email sender,"(unknownCommand)"
end,"(unknownCommand)"
respond,"(unknownCommand)"
add subject shirt color,"(unknownCommand)"
edit respond,"(unknownCommand)"
edit command,"(unknownCommand)"
change command,"(unknownCommand)"
edit,"(unknownCommand)"
yet,"(unknownCommand)"
edit,"(unknownCommand)"
yes,"(unknownCommand)"
change former command,"(unknownCommand)"
end,"(unknownCommand)"
reply to current email,"(unknownCommand)"
reply,"(unknownCommand)"
respond,"(unknownCommand)"
add,"(unknownCommand)"
yes,"(unknownCommand)"
set subject to current email's subject,"(unknownCommand)"
end,"(unknownCommand)"
set body to blue,"(unknownCommand)"
send,"(unknownCommand)"
next,"(unknownCommand)"
open,"(unknownCommand)"
next,"(unknownCommand)"
list commands,"(unknownCommand)"
ls,"(unknownCommand)"
next,"(unknownCommand)"
open,"(unknownCommand)"
next,"(unknownCommand)"
yes,"(unknownCommand)"
open next email,"(unknownCommand)"
read next email,"(unknownCommand)"
end,"(unknownCommand)"
next,"(unknownCommand)"
open,"(unknownCommand)"
open next email,"(unknownCommand)"
read email,"(unknownCommand)"
next,"(unknownCommand)"
previous,"(unknownCommand)"
yes,"(unknownCommand)"
open previous email,"(unknownCommand)"
end,"(unknownCommand)"
previous,"(unknownCommand)"
open email,"(unknownCommand)"
reply,"(unknownCommand)"
respond,"(unknownCommand)"
set,"(unknownCommand)"
set subject as current email,"(unknownCommand)"
set subject to current email's,"(unknownCommand)"
set subject to current email's subject,"(unknownCommand)"
set body yes,"(unknownCommand)"
set body to yes,"(unknownCommand)"
send,"(unknownCommand)"
next,"(unknownCommand)"
open,"(unknownCommand)"
read,"(unknownCommand)"
yes,"(unknownCommand)"
read next email,"(unknownCommand)"
end,"(unknownCommand)"
read,"(unknownCommand)"
read,"(unknownCommand)"
previous,"(unknownCommand)"
read current email,"(unknownCommand)"
forward current email,"(unknownCommand)"
yes,"(unknownCommand)"
open new email,"(unknownCommand)"
set body to current email's body,"(unknownCommand)"
set subject to current email's subject,"(unknownCommand)"
end,"(unknownCommand)"
forward,"(unknownCommand)"
yes,"(unknownCommand)"
forward current email,"(unknownCommand)"
end,"(unknownCommand)"
forward,"(unknownCommand)"
new contact,"(unknownCommand)"
contact,"(unknownCommand)"
set recipient to charlieisasleep4@myworkplace.com,"(unknownCommand)"
create new contact named Charlie,"(unknownCommand)"
set charlie's email to charlieisasleep4@myworkplace.com,"(unknownCommand)"
yes,"(unknownCommand)"
end,"(unknownCommand)"
set contact charlie's email,"(unknownCommand)"
yes,"(unknownCommand)"
end,"(unknownCommand)"
set contact email,"(unknownCommand)"
change contact,"(unknownCommand)"
save email,"(unknownCommand)"
save contact,"(unknownCommand)"
set email field to charlieisasleep4@myworkplace.com,"(unknownCommand)"
current email,"(unknownCommand)"
read email,"(unknownCommand)"
forward email,"(unknownCommand)"
set recipient to charlieisasleep4@myworkplace.com,"(unknownCommand)"
list contacts,"(unknownCommand)"
yes,"(unknownCommand)"
list my contacts,"(unknownCommand)"
list saved contacts,"(unknownCommand)"
end,"(unknownCommand)"
create contact for charlie,"(unknownCommand)"
create concept contact,"(unknownCommand)"
create concept contact1,"(unknownCommand)"
add field email,"(unknownCommand)"
add email to concept contact1,"(unknownCommand)"
add email field to concept contact1,"(unknownCommand)"
add email field to concept contact1,"(unknownCommand)"
create contact,"(unknownCommand)"
create charlie,"(unknownCommand)"
create a contact for charlie,"(unknownCommand)"
read current email,"(unknownCommand)"
forward email,"(unknownCommand)"
add charlieisasleep4@myworkplace.com to recipient list,"(unknownCommand)"
set recipient to charlieisasleep4@myworkplace.com,"(unknownCommand)"
create new email,"(unknownCommand)"
set body to current email's body,"(unknownCommand)"
read current email,"(unknownCommand)"
copy body,"(unknownCommand)"
set outgoing email's body to current email's body,"(unknownCommand)"
list contacts,"(unknownCommand)"
save email,"(unknownCommand)"
add charlieisasleep4@myworkplace.com to contacts,"(unknownCommand)"
define the concept contact,"(unknownCommand)"
define contact,"(unknownCommand)"
set contact's email to charlieisasleep4@myworkplace.com,"(unknownCommand)"
create new email,"(unknownCommand)"
create email,"(unknownCommand)"
new email,"(unknownCommand)"
send email,"(unknownCommand)"
set recipient to charlieisasleep4@myworkplace.com,"(unknownCommand)"
set current emails recipient to charlieisasleep4@myworkplace.com,"(unknownCommand)"
yes,"(unknownCommand)"
end,"(unknownCommand)"
set current email's recipient to charlieisasleep4@myworkplace.com,"(unknownCommand)"
set email's recipient,"(unknownCommand)"
send email to charlie,"(unknownCommand)"
send email to mom,"(unknownCommand)"
create new email,"(unknownCommand)"
remove email,"(unknownCommand)"
next email,"(unknownCommand)"
reaad email,"(unknownCommand)"
open email,"(unknownCommand)"
open new email,"(unknownCommand)"
set outgoing email's subject to current emails subject,"(unknownCommand)"
set outgoing email's recipient to charlieisasleep4@myworkplace.com,"(unknownCommand)"
